task,template_name,instruction,template-demo,template-query,targets
rte,tf-null,,{premise} {hypothesis} {label},{premise} {hypothesis},True;False
rte,gpt3-style,,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s,"Given the first sentence, answer the following question.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False. ",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-inline,,"Given the first sentence, answer the following question. {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-m-inline,,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-l-inline,,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-xl-inline,,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False.  {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-s-inline-r,,choler pneumodynamics unrulableness ult. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ult. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-inline-r,,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpog. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpog. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-inline-r,,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonz. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonz. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-inline-r,,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mir. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mir. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-inline-f,,the of in and a to was is on for. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-inline-f,,the of in and a to was is on for as with by he that at from his at an were which are also this. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for as with by he that at from his at an were which are also this. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-inline-f,,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-inline-f,,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season most world state up city some university while made about then three united him such out team film used. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season most world state up city some university while made about then three united him such out team film used. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-r,choler pneumodynamics unrulableness ult,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-r,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpog,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-r,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonz,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-r,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mir,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-f,the of in and a to was is on for,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-f,the of in and a to was is on for as with by he that at from his at an were which are also this,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-f,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-f,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season most world state up city some university while made about then three united him such out team film used,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-vs-ex,Here are some examples.,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-ex,"Given the first sentence, answer the following question. Here are some examples.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-ex,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. Here are some examples.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-ex,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Here are some examples.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-ex,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False. Here are some examples.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-model,Find if the Hypothesis entails or not entails the Premise.,Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label},Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ,True;False
rte,tf-m-model,"Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'.",Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label},Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ,True;False
rte,tf-l-model,"Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions.",Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label},Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ,True;False
rte,tf-xl-model,"Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the hypothesis and the premise are logically related and the hypothesis follows the premise then we say the answer is True otherwise the answer is False.",Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label},Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ,True;False
rte,tf-s-model-inline,,Find if the Hypothesis entails or not entails the Premise. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label},Find if the Hypothesis entails or not entails the Premise. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ,True;False
rte,tf-m-model-inline,,"Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label}","Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ",True;False
rte,tf-l-model-inline,,"Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label}","Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ",True;False
rte,tf-xl-model-inline,,"Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the hypothesis and the premise are logically related and the hypothesis follows the premise then we say the answer is True otherwise the answer is False. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer:{label}","Find if the Hypothesis entails or not entails the Premise. If the Hypothesis entails the Premise then the Answer is 'True', if not then the Answer is 'False'. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the hypothesis and the premise are logically related and the hypothesis follows the premise then we say the answer is True otherwise the answer is False. Premise:{premise} \nHypothesis:{hypothesis} \nAnswer: ",True;False
rte,tf-s-inline,,Find if the second sentence entails or not entails the first sentence. {premise} question: {hypothesis} True or False? answer: {label},Find if the second sentence entails or not entails the first sentence. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-inline,,"Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'. {premise} question: {hypothesis} True or False? answer: {label}","Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-l-inline,,"Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.  To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. {premise} question: {hypothesis} True or False? answer: {label}","Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.  To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-xl-inline,,"Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.  To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first and second sentences are logically related and the second sentence follows the first sentence then we say the answer is True otherwise the answer is False. {premise} question: {hypothesis} True or False? answer: {label}","Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.  To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first and second sentences are logically related and the second sentence follows the first sentence then we say the answer is True otherwise the answer is False.  {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-s-en,Find if the second sentence entails or not entails the first sentence.,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-en,"Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-en,"Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.  To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-en,"Find if the second sentence entails or not entails the first sentence. If the second sentence entails the first sentence then the answer is 'True', if not then the answer is 'False'.  To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first and second sentences are logically related and the second sentence follows the first sentence then we say the answer is True otherwise the answer is False. ",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-en-ran,choler pneumodynamics unrulableness ultimateness,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-en-ran,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-en-ran,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kin,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-en-ran,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mirador filaceous stell uhtensang eidolic pres,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-en-f,the of in and a to was is on for as with by,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-en-f,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-en-f,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-en-f,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season most world state up city some university while made about then three united him such out team film used under year became known born part can second no many states than these,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
